"judet ","TOTAL ","Sub 25 ani","25 - 29 ani","30 - 39 ani","40 - 49 ani","50 - 55 ani","peste 55 ani"

"ALBA","5618.0","799.0","314.0","1088.0","1515.0","904.0","998.0"

"ARAD","2912.0","291.0","125.0","421.0","781.0","506.0","788.0"

"ARGES","8713.0","1109.0","493.0","1697.0","2406.0","1480.0","1528.0"

"BACAU","12800.0","1547.0","1535.0","2212.0","2833.0","2303.0","2370.0"

"BIHOR","4213.0","727.0","259.0","870.0","1063.0","691.0","603.0"

"BISTRITA","3712.0","575.0","207.0","679.0","937.0","691.0","623.0"

"BOTOSANI","4088.0","520.0","169.0","634.0","1211.0","650.0","904.0"

"BRAILA","5128.0","587.0","245.0","929.0","1552.0","636.0","1179.0"

"BRASOV","6068.0","839.0","454.0","1352.0","1469.0","900.0","1054.0"

"BUZAU","12312.0","1356.0","575.0","2125.0","3680.0","1955.0","2621.0"

"CALARASI","3923.0","486.0","166.0","791.0","1030.0","615.0","835.0"

"CARAS-SEVERIN","3755.0","545.0","220.0","608.0","1062.0","643.0","677.0"

"CLUJ","4994.0","644.0","299.0","955.0","1353.0","858.0","885.0"

"CONSTANTA","5633.0","512.0","260.0","1079.0","1515.0","968.0","1299.0"

"COVASNA","2965.0","845.0","181.0","547.0","653.0","301.0","438.0"

"DAMBOVITA","9074.0","1961.0","444.0","1408.0","2117.0","1406.0","1738.0"

"DOLJ","19924.0","2064.0","1110.0","3622.0","5864.0","3383.0","3881.0"

"GALATI","13523.0","2261.0","466.0","1965.0","3860.0","2141.0","2830.0"

"GIURGIU","2398.0","411.0","94.0","359.0","543.0","430.0","561.0"

"GORJ","5892.0","682.0","230.0","905.0","1598.0","887.0","1590.0"

"HARGHITA","5659.0","1213.0","385.0","1196.0","1369.0","726.0","770.0"

"HUNEDOARA","6587.0","730.0","433.0","1152.0","2112.0","1226.0","934.0"

"IALOMITA","5208.0","645.0","219.0","887.0","1437.0","926.0","1094.0"

"IASI","9632.0","1020.0","227.0","1446.0","2722.0","1842.0","2375.0"

"ILFOV","1126.0","191.0","53.0","223.0","294.0","158.0","207.0"

"MARAMURES","6430.0","1056.0","481.0","1537.0","1584.0","951.0","821.0"

"MEHEDINTI","8691.0","631.0","387.0","1898.0","2858.0","1312.0","1605.0"

"MUNICIPIUL BUCURESTI","17106.0","354.0","1891.0","4192.0","4678.0","3185.0","2806.0"

"MURES","7060.0","1045.0","596.0","1613.0","1944.0","877.0","985.0"

"NEAMT","9175.0","1126.0","409.0","1586.0","2612.0","1575.0","1867.0"

"OLT","10252.0","1076.0","420.0","1682.0","3059.0","1829.0","2186.0"

"PRAHOVA","7937.0","1130.0","332.0","1346.0","2235.0","1436.0","1458.0"

"SALAJ","4545.0","806.0","319.0","930.0","1140.0","700.0","650.0"

"SATU-MARE","3840.0","547.0","290.0","944.0","1038.0","517.0","504.0"

"SIBIU","3521.0","348.0","229.0","718.0","910.0","581.0","735.0"

"SUCEAVA","12082.0","2720.0","754.0","2117.0","3020.0","1491.0","1980.0"

"TELEORMAN","12268.0","1651.0","658.0","2092.0","3373.0","2080.0","2414.0"

"TIMIS","2798.0","402.0","149.0","446.0","820.0","444.0","537.0"

"TULCEA","2521.0","402.0","199.0","594.0","675.0","384.0","267.0"

"VALCEA","5061.0","1148.0","263.0","802.0","1335.0","826.0","687.0"

"VASLUI ","11651.0","965.0","382.0","2007.0","3982.0","2057.0","2258.0"

"VRANCEA","5956.0","865.0","287.0","955.0","1588.0","994.0","1267.0"

"TOTAL","296751.0","38832.0","17209.0","54609.0","81827.0","48465.0","55809.0"

